Epoch,train_acc
1,0.455
2,0.63
3,0.707
4,0.749
5,0.779
6,0.8
7,0.814
8,0.829
9,0.839
10,0.85
11,0.858
12,0.865
13,0.872
14,0.877
15,0.884
16,0.891
17,0.891
18,0.897
19,0.901
20,0.906
21,0.911
22,0.912
23,0.914
24,0.921
25,0.922
26,0.925
27,0.928
28,0.93
29,0.93
30,0.934
