Epoch,train_loss
1,1.487
2,1.036
3,0.831
4,0.719
5,0.636
6,0.578
7,0.535
8,0.494
9,0.462
10,0.432
11,0.412
12,0.386
13,0.374
14,0.352
15,0.333
16,0.319
17,0.312
18,0.297
19,0.284
20,0.271
21,0.259
22,0.252
23,0.246
24,0.23
25,0.225
26,0.216
27,0.209
28,0.204
29,0.199
30,0.191
