Wall time,Step,Value
1712587244.073799,0,0.9570800065994263
1712587389.112096,1,0.9243199825286865
1712587550.325174,2,0.921999990940094
1712587718.933129,3,0.9298200011253357
1712587882.239857,4,0.936739981174469
1712588047.365118,5,0.9455999732017517
1712588185.013906,6,0.953540027141571
1712588322.224172,7,0.9567800164222717
1712588459.801193,8,0.9584599733352661
1712588597.320244,9,0.9302600026130676
1712588738.0163252,10,0.9286199808120728
1712588879.651365,11,0.9335399866104126
1712589031.052762,12,0.943560004234314
1712589183.445023,13,0.9488400220870972
1712589352.2314491,14,0.953540027141571
1712589497.141886,15,0.9584800004959106
1712589657.191125,16,0.9615799784660339
1712589806.3975282,17,0.9371399879455566
1712589965.502421,18,0.935479998588562
1712590121.2638779,19,0.9387199878692627
1712590296.5958269,20,0.9470400214195251
1712590461.087795,21,0.9516400098800659
1712590614.300281,22,0.9575999975204468
1712590779.392262,23,0.9613400101661682
1712590951.177276,24,0.9637200236320496
1712591106.322943,25,0.9394800066947937
1712591279.219276,26,0.9387400150299072
1712591434.894225,27,0.9393200278282166
1712591590.646076,28,0.9481199979782104
1712591755.070553,29,0.9547799825668335
1712591915.260274,30,0.959879994392395
1712592070.457846,31,0.9629600048065186
1712592234.14485,32,0.9651200175285339
1712592395.427116,33,0.9410200119018555
1712592542.270463,34,0.9359400272369385
1712592698.210877,35,0.9454399943351746
1712592845.9202769,36,0.9500200152397156
1712592989.871553,37,0.9565200209617615
1712593129.560747,38,0.9605000019073486
1712593277.373743,39,0.9643599987030029
