Wall time,Step,Value
1712559944.659453,0,0.41585999727249146
1712560150.767458,1,0.5897799730300903
1712560359.362431,2,0.6668800115585327
1712560564.098838,3,0.7181000113487244
1712560772.489965,4,0.7512800097465515
1712560979.039194,5,0.7795799970626831
1712561184.763645,6,0.7970600128173828
1712561393.41128,7,0.8168399930000305
1712561598.454813,8,0.8342000246047974
1712561804.127452,9,0.84552001953125
1712562009.3974662,10,0.8607400059700012
1712562215.514038,11,0.8698800206184387
1712562421.932256,12,0.8794999718666077
1712562630.7149901,13,0.8834800124168396
1712562834.958337,14,0.8914200067520142
1712563042.502208,15,0.8989599943161011
1712563248.5884879,16,0.9018999934196472
1712563458.380754,17,0.9079399704933167
1712563661.4317172,18,0.9111599922180176
1712563867.120508,19,0.9143999814987183
1712564076.030859,20,0.9160400032997131
1712564277.765104,21,0.9186199903488159
1712564484.51324,22,0.921459972858429
1712564690.071959,23,0.9254800081253052
1712564893.891872,24,0.9290199875831604
1712565097.3752902,25,0.9279800057411194
1712565302.4153442,26,0.9305400252342224
1712565504.853457,27,0.9289199709892273
1712565709.092724,28,0.9333000183105469
1712565913.638763,29,0.9333999752998352
1712566116.845737,30,0.9337599873542786
1712566327.313458,31,0.9342600107192993
1712566528.758927,32,0.9343799948692322
1712566733.947674,33,0.9348000288009644
1712566937.539689,34,0.9386799931526184
1712567140.1273751,35,0.9375799894332886
1712567340.538802,36,0.9376000165939331
1712567542.0996811,37,0.9404799938201904
1712567742.8408241,38,0.9399999976158142
1712567945.3209732,39,0.9431999921798706
