Wall time,Step,Value
1712568196.3424058,0,1.6220678091049194
1712568396.1633012,1,1.1567518711090088
1712568598.275886,2,0.939860999584198
1712568800.603311,3,0.7931994199752808
1712569004.87061,4,0.6730194091796875
1712569206.3174012,5,0.5711923241615295
1712569408.0714922,6,0.4934690594673157
1712569610.2706308,7,0.4287393093109131
1712569812.960125,8,0.6744866967201233
1712570014.68865,9,0.582028329372406
1712570215.464525,10,0.49492570757865906
1712570421.002924,11,0.426766574382782
1712570623.14153,12,0.35225650668144226
1712570823.8054569,13,0.29533541202545166
1712571026.9037151,14,0.2523229420185089
1712571225.7412102,15,0.23144257068634033
1712571423.851407,16,0.4177626669406891
1712571625.429591,17,0.3902944028377533
1712571827.501756,18,0.33308693766593933
1712572027.725656,19,0.28267228603363037
1712572230.875322,20,0.24496841430664062
1712572432.226841,21,0.21132101118564606
1712572634.838783,22,0.19195815920829773
1712572836.2076402,23,0.1784060299396515
1712573038.564895,24,0.3038997948169708
1712573238.395414,25,0.30259060859680176
1712573439.551751,26,0.2627567648887634
1712573640.879772,27,0.23496581614017487
1712573838.83065,28,0.20065216720104218
1712574040.393698,29,0.18073952198028564
1712574237.540499,30,0.16163203120231628
1712574435.2544022,31,0.14801645278930664
1712574637.28277,32,0.252041757106781
1712574834.1153212,33,0.25680220127105713
1712575030.3869739,34,0.23313558101654053
1712575232.522235,35,0.20582281053066254
1712575436.454634,36,0.17969930171966553
1712575637.156539,37,0.1613973081111908
1712575839.768678,38,0.14929023385047913
1712576050.784354,39,0.1378161609172821
