Wall time,Step,Value
1712576306.208846,0,1.614187240600586
1712576518.329143,1,1.141946792602539
1712576732.9780748,2,0.9265081882476807
1712576944.298497,3,0.7750200033187866
1712577158.286231,4,0.6654776930809021
1712577369.980683,5,0.5656478404998779
1712577583.086874,6,0.47912177443504333
1712577796.5422468,7,0.42196348309516907
1712578008.913001,8,0.6585189700126648
1712578223.270962,9,0.5642639398574829
1712578433.6292129,10,0.49401670694351196
1712578643.274692,11,0.41185593605041504
1712578859.310233,12,0.34726813435554504
1712579073.51892,13,0.2976754307746887
1712579285.077377,14,0.25244152545928955
1712579499.098573,15,0.22425349056720734
1712579712.516968,16,0.4157991409301758
1712579927.8304288,17,0.38894763588905334
1712580138.7691782,18,0.32880493998527527
1712580338.02092,19,0.2904207110404968
1712580538.9489899,20,0.24361300468444824
1712580735.822291,21,0.2128731608390808
1712580934.15714,22,0.19170360267162323
1712581134.5261,23,0.17430542409420013
1712581334.6387699,24,0.30459386110305786
1712581532.846436,25,0.2957601249217987
1712581733.5124512,26,0.2640794515609741
1712581933.034521,27,0.23340407013893127
1712582131.084075,28,0.20354855060577393
1712582328.841698,29,0.1764003336429596
1712582527.0307589,30,0.15945281088352203
1712582728.303921,31,0.1498577743768692
1712582928.331517,32,0.25528684258461
1712583131.531065,33,0.2540711462497711
1712583334.470259,34,0.22786910831928253
1712583532.1651058,35,0.2005244493484497
1712583712.511138,36,0.17869403958320618
1712583878.5221682,37,0.16067270934581757
1712584059.2466261,38,0.14218966662883759
1712584219.5775151,39,0.13352656364440918
