Wall time,Step,Value
1712587244.0737228,0,0.12979769706726074
1712587389.1120262,1,0.22584731876850128
1712587550.325105,2,0.23101331293582916
1712587718.933054,3,0.2080724537372589
1712587882.239788,4,0.18834586441516876
1712588047.365054,5,0.16350921988487244
1712588185.013839,6,0.142539843916893
1712588322.224108,7,0.13114690780639648
1712588459.801124,8,0.12487484514713287
1712588597.320184,9,0.2052391916513443
1712588738.016204,10,0.20900273323059082
1712588879.651289,11,0.1989651769399643
1712589031.0526981,12,0.1695730835199356
1712589183.444948,13,0.15248015522956848
1712589352.23138,14,0.13799193501472473
1712589497.141799,15,0.12438073754310608
1712589657.1910322,16,0.1173425167798996
1712589806.3974242,17,0.18707144260406494
1712589965.502343,18,0.19438929855823517
1712590121.263763,19,0.18397065997123718
1712590296.5957341,20,0.15928910672664642
1712590461.0876858,21,0.14545008540153503
1712590614.3001978,22,0.13026168942451477
1712590779.3921978,23,0.11934223026037216
1712590951.177213,24,0.10978473722934723
1712591106.32233,25,0.17848573625087738
1712591279.2192042,26,0.18625329434871674
1712591434.894154,27,0.17654317617416382
1712591590.646005,28,0.15569812059402466
1712591755.070482,29,0.13574013113975525
1712591915.2601972,30,0.12107084691524506
1712592070.457769,31,0.11202969402074814
1712592234.144785,32,0.10687655210494995
1712592395.427042,33,0.1739441603422165
1712592542.27036,34,0.18670064210891724
1712592698.210798,35,0.16558900475502014
1712592845.920205,36,0.15036974847316742
1712592989.8714728,37,0.1354709416627884
1712593129.560682,38,0.1211828887462616
1712593277.373661,39,0.1073533147573471
