Wall time,Step,Value
1712559944.6593652,0,1.6034210920333862
1712560150.767364,1,1.144953966140747
1712560359.362282,2,0.9393554925918579
1712560564.0987551,3,0.8046501874923706
1712560772.489881,4,0.7111764550209045
1712560979.039115,5,0.6338526606559753
1712561184.763532,6,0.5799210667610168
1712561393.4112,7,0.5268644690513611
1712561598.454696,8,0.4807926118373871
1712561804.127307,9,0.44658854603767395
1712562009.397384,10,0.40657350420951843
1712562215.513953,11,0.3812260031700134
1712562421.9321442,12,0.3517194390296936
1712562630.714921,13,0.3391440510749817
1712562834.958254,14,0.3185940682888031
1712563042.5021188,15,0.29951566457748413
1712563248.588402,16,0.2913442850112915
1712563458.38065,17,0.2758904695510864
1712563661.43156,18,0.26602935791015625
1712563867.12037,19,0.2525728642940521
1712564076.030777,20,0.25152042508125305
1712564277.764957,21,0.24309292435646057
1712564484.513144,22,0.23236946761608124
1712564690.071877,23,0.22406719624996185
1712564893.891791,24,0.21448297798633575
1712565097.375194,25,0.21929480135440826
1712565302.4152472,26,0.20722417533397675
1712565504.8533142,27,0.21154925227165222
1712565709.092643,28,0.20030033588409424
1712565913.638676,29,0.20049341022968292
1712566116.8456588,30,0.19840140640735626
1712566327.3133702,31,0.19627204537391663
1712566528.75884,32,0.19528789818286896
1712566733.947594,33,0.1936333030462265
1712566937.539598,34,0.18513497710227966
1712567140.1272268,35,0.18646036088466644
1712567340.5387158,36,0.18644535541534424
1712567542.0996008,37,0.176566943526268
1712567742.840666,38,0.18231306970119476
1712567945.3208718,39,0.1722678393125534
